subj,intercept,slope
22,0.019671879905384524,0.14181011966853158
24,0.022906398414961126,0.056263841836215
25,-0.40707214927516266,0.056161515278653484
27,-0.5258246093282631,0.1646095240896129
28,-0.5762553899890833,0.03585292795615572
29,0.040836899817597555,0.12546925194026776
33,0.4183119925000208,-0.2739534672657373
37,0.5860517079650469,-0.09643079748043411
38,0.14363726897462004,0.10129325464038072
39,-0.17954461096399008,0.1378362820286535
40,0.06570118066862286,0.10428146207082167
42,-0.49233835042414414,0.07183742797071802
43,-0.22343927651710863,0.33774267660593194
44,-0.05194870358806775,-0.07091218282838017
45,-0.07577014701613059,0.13556291240711785
47,-0.35406033006568893,0.0423049822608801
48,-0.30347585523106374,0.026555804098141497
49,0.16908858390026418,-0.09114688613468921
50,-0.04776286815272619,0.12081734903982866
51,-0.31364092767311014,0.1810311583926712
54,0.2738869024153275,0.23211930311114642
55,0.05985832589678172,0.011630416254374339
58,0.12389246440534778,0.04426838823426654
59,0.2411013203175751,-0.2318795981035216
61,-0.14953614674878676,-0.17510594116437836
62,-0.034178905638597136,0.0040498666060468525
64,0.6900000676786828,-0.6387881907091639
65,-0.17532125036813298,0.3089309534797301
66,-0.12260361965075253,0.010767674975669585
68,0.43448959895243205,-0.3127725608086735
72,-0.16367198743792016,0.11850229037033938
73,-0.3108255071873769,0.03845175497281935
74,-0.14931624378007588,-0.02673719173278883
75,0.5732529336061983,-0.18667593073062005
76,-0.03475390955601921,0.06280330210798506
77,0.6790841047824652,-0.28270177704145755
78,-0.47089595253635935,-0.0144665222333005
79,-0.27903652051870875,0.07524219178218795
80,0.26515413206629757,-0.39007514485914785
81,0.5649783620992932,-0.14747517459687332
82,0.11989150196874235,-0.02759060555069766
83,-0.24280987833035297,-0.13432752130066944
84,-0.5442472934806991,0.13437881124523707
85,-0.20841515085194942,-0.06611859212220883
87,0.3214646326657476,-0.3567220709829503
88,-0.37461611225435715,0.18264666151339398
89,0.08721688642466163,-0.05798664177829832
91,-0.11277556498777787,0.27261337362663624
92,0.18420325286989053,0.14804116838381257
100,0.07861736271661653,-0.030132895299323285
102,-0.4600195563095755,0.1447227601628621
103,0.2909870395606369,0.10172147731109926
105,0.18722582842789626,-0.01900216751155888
106,0.1926379066308477,0.07433169865411146
107,-0.13469245739277158,-0.056885600386582254
108,-0.13978228856068506,0.047862759526015215
109,-0.21929116172923116,-0.12580501634375213
110,0.19423048029556778,0.008290158783688044
119,-0.13906521713751327,0.1363102350052396
123,-0.05612032579134933,0.08038210146236577
124,0.2646279300730464,-0.18770239937482458
125,-0.5109573689291141,0.1881832957947243
126,-0.02168012577912629,-0.1790843998396027
127,-0.0021483291360668093,0.10693440090553932
142,0.15630322891429263,0.1290696719534698
143,1.1585839173928774,-0.321205930323017
